pathway;interact1_ensembl;interact2_ensembl
AMPK;ENSG00000106617;ENSG00000079435
AMPK;ENSG00000106617;ENSG00000113161
AMPK;ENSG00000106617;ENSG00000076555
AMPK;ENSG00000106617;ENSG00000278540
AMPK;ENSG00000106617;ENSG00000198793
AMPK;ENSG00000150907;ENSG00000150907
AMPK;ENSG00000109819;ENSG00000109819
AMPK;ENSG00000101076;ENSG00000131482
AMPK;ENSG00000101076;ENSG00000124253
AMPK;ENSG00000160741;ENSG00000124253
AMPK;ENSG00000160741;ENSG00000109819
AMPK;ENSG00000107175;ENSG00000160741
AMPK;ENSG00000160741;ENSG00000107175
AMPK;ENSG00000109819;ENSG00000288174
AMPK;ENSG00000072310;ENSG00000169710
AMPK;ENSG00000072310;ENSG00000278540
AMPK;ENSG00000072310;ENSG00000099194
AMPK;ENSG00000106617;ENSG00000065882
AMPK;ENSG00000065882;ENSG00000084733
AMPK;ENSG00000120907;ENSG00000106617
AMPK;ENSG00000106617;ENSG00000135218
AMPK;ENSG00000106617;ENSG00000072310
AMPK;ENSG00000106617;ENSG00000001626
AMPK;ENSG00000176194;ENSG00000106617
MAPK;ENSG00000146535;ENSG00000155903
MAPK;ENSG00000109756;ENSG00000133818
MAPK;ENSG00000058335;ENSG00000133818
MAPK;ENSG00000172575;ENSG00000133818
MAPK;ENSG00000116473;ENSG00000157764
MAPK;ENSG00000232810;ENSG00000067182
MAPK;ENSG00000115008;ENSG00000115594
MAPK;ENSG00000117560;ENSG00000026103
MAPK;ENSG00000105329;ENSG00000106799
MAPK;ENSG00000026103;ENSG00000204209
MAPK;ENSG00000106799;ENSG00000204209
MAPK;ENSG00000177885;ENSG00000182578
MAPK;ENSG00000182578;ENSG00000177885
MAPK;ENSG00000115904;ENSG00000177885
MAPK;ENSG00000177885;ENSG00000115904
MAPK;ENSG00000055208;ENSG00000175104
MAPK;ENSG00000175104;ENSG00000055208
MAPK;ENSG00000130159;ENSG00000175104
MAPK;ENSG00000175104;ENSG00000130159
MAPK;ENSG00000112658;ENSG00000126767
MAPK;ENSG00000126767;ENSG00000112658
MAPK;ENSG00000112658;ENSG00000158711
MAPK;ENSG00000158711;ENSG00000112658
MAPK;ENSG00000109270;ENSG00000169032
MAPK;ENSG00000169032;ENSG00000109270
MAPK;ENSG00000109270;ENSG00000126934
MAPK;ENSG00000126934;ENSG00000109270
MAPK;ENSG00000100030;ENSG00000109270
MAPK;ENSG00000109270;ENSG00000100030
MAPK;ENSG00000008735;ENSG00000107643
MAPK;ENSG00000107643;ENSG00000008735
MAPK;ENSG00000008735;ENSG00000076984
MAPK;ENSG00000076984;ENSG00000008735
MAPK;ENSG00000008735;ENSG00000173327
MAPK;ENSG00000173327;ENSG00000008735
MAPK;ENSG00000008735;ENSG00000282928
MAPK;ENSG00000282928;ENSG00000008735
MAPK;ENSG00000107643;ENSG00000138834
MAPK;ENSG00000138834;ENSG00000107643
MAPK;ENSG00000065559;ENSG00000138834
MAPK;ENSG00000138834;ENSG00000065559
MAPK;ENSG00000076984;ENSG00000138834
MAPK;ENSG00000138834;ENSG00000076984
MAPK;ENSG00000138834;ENSG00000095015
MAPK;ENSG00000095015;ENSG00000138834
MAPK;ENSG00000173327;ENSG00000138834
MAPK;ENSG00000138834;ENSG00000173327
MAPK;ENSG00000107643;ENSG00000167193
MAPK;ENSG00000167193;ENSG00000107643
MAPK;ENSG00000065559;ENSG00000167193
MAPK;ENSG00000167193;ENSG00000065559
MAPK;ENSG00000065559;ENSG00000196924
MAPK;ENSG00000196924;ENSG00000065559
MAPK;ENSG00000065559;ENSG00000137486
MAPK;ENSG00000137486;ENSG00000065559
MAPK;ENSG00000288516;ENSG00000116473
MAPK;ENSG00000154229;ENSG00000133818
MAPK;ENSG00000154229;ENSG00000132155
MAPK;ENSG00000115904;ENSG00000133818
MAPK;ENSG00000133818;ENSG00000157764
MAPK;ENSG00000133818;ENSG00000132155
MAPK;ENSG00000157764;ENSG00000169032
MAPK;ENSG00000157764;ENSG00000126934
MAPK;ENSG00000132155;ENSG00000169032
MAPK;ENSG00000132155;ENSG00000126934
MAPK;ENSG00000169032;ENSG00000100030
MAPK;ENSG00000126934;ENSG00000100030
MAPK;ENSG00000100030;ENSG00000277956
MAPK;ENSG00000100030;ENSG00000117632
MAPK;ENSG00000100030;ENSG00000243708
MAPK;ENSG00000100030;ENSG00000099875
MAPK;ENSG00000100030;ENSG00000072133
MAPK;ENSG00000100030;ENSG00000126767
MAPK;ENSG00000100030;ENSG00000158711
MAPK;ENSG00000099875;ENSG00000128272
MAPK;ENSG00000072133;ENSG00000128272
MAPK;ENSG00000100030;ENSG00000136997
MAPK;ENSG00000136238;ENSG00000095015
MAPK;ENSG00000136238;ENSG00000149269
