pathway;interact1_ensembl;interact2_ensembl
Glucagon;ENSG00000107175;ENSG00000060566
Glucagon;ENSG00000060566;ENSG00000107175
Glucagon;ENSG00000107175;ENSG00000157613
Glucagon;ENSG00000157613;ENSG00000107175
Glucagon;ENSG00000107175;ENSG00000146592
Glucagon;ENSG00000146592;ENSG00000107175
Glucagon;ENSG00000118260;ENSG00000118260
Glucagon;ENSG00000118260;ENSG00000115966
Glucagon;ENSG00000115966;ENSG00000118260
Glucagon;ENSG00000118260;ENSG00000143578
Glucagon;ENSG00000143578;ENSG00000118260
Glucagon;ENSG00000118260;ENSG00000128272
Glucagon;ENSG00000128272;ENSG00000118260
Glucagon;ENSG00000118260;ENSG00000182158
Glucagon;ENSG00000182158;ENSG00000118260
Glucagon;ENSG00000118260;ENSG00000060566
Glucagon;ENSG00000060566;ENSG00000118260
Glucagon;ENSG00000118260;ENSG00000157613
Glucagon;ENSG00000157613;ENSG00000118260
Glucagon;ENSG00000118260;ENSG00000146592
Glucagon;ENSG00000146592;ENSG00000118260
Glucagon;ENSG00000115966;ENSG00000115966
Glucagon;ENSG00000115966;ENSG00000143578
Glucagon;ENSG00000143578;ENSG00000115966
Glucagon;ENSG00000115966;ENSG00000128272
Glucagon;ENSG00000128272;ENSG00000115966
Glucagon;ENSG00000115966;ENSG00000182158
Glucagon;ENSG00000182158;ENSG00000115966
Glucagon;ENSG00000115966;ENSG00000060566
Glucagon;ENSG00000060566;ENSG00000115966
Glucagon;ENSG00000115966;ENSG00000157613
Glucagon;ENSG00000157613;ENSG00000115966
Glucagon;ENSG00000115966;ENSG00000146592
Glucagon;ENSG00000146592;ENSG00000115966
Glucagon;ENSG00000143578;ENSG00000143578
Glucagon;ENSG00000143578;ENSG00000128272
Glucagon;ENSG00000128272;ENSG00000143578
Glucagon;ENSG00000143578;ENSG00000182158
Glucagon;ENSG00000182158;ENSG00000143578
Glucagon;ENSG00000143578;ENSG00000060566
Glucagon;ENSG00000060566;ENSG00000143578
Glucagon;ENSG00000143578;ENSG00000157613
Glucagon;ENSG00000157613;ENSG00000143578
Glucagon;ENSG00000143578;ENSG00000146592
Glucagon;ENSG00000146592;ENSG00000143578
Glucagon;ENSG00000128272;ENSG00000128272
Glucagon;ENSG00000128272;ENSG00000182158
Glucagon;ENSG00000182158;ENSG00000128272
Glucagon;ENSG00000128272;ENSG00000060566
Glucagon;ENSG00000060566;ENSG00000128272
Glucagon;ENSG00000128272;ENSG00000157613
Glucagon;ENSG00000157613;ENSG00000128272
Glucagon;ENSG00000128272;ENSG00000146592
Glucagon;ENSG00000146592;ENSG00000128272
Glucagon;ENSG00000182158;ENSG00000182158
Glucagon;ENSG00000182158;ENSG00000060566
Glucagon;ENSG00000060566;ENSG00000182158
Glucagon;ENSG00000182158;ENSG00000157613
Glucagon;ENSG00000157613;ENSG00000182158
Glucagon;ENSG00000182158;ENSG00000146592
Glucagon;ENSG00000146592;ENSG00000182158
Glucagon;ENSG00000060566;ENSG00000060566
Glucagon;ENSG00000060566;ENSG00000157613
Glucagon;ENSG00000157613;ENSG00000060566
Glucagon;ENSG00000060566;ENSG00000146592
Glucagon;ENSG00000146592;ENSG00000060566
Glucagon;ENSG00000157613;ENSG00000157613
Glucagon;ENSG00000157613;ENSG00000146592
Glucagon;ENSG00000146592;ENSG00000157613
Glucagon;ENSG00000146592;ENSG00000146592
Glucagon;ENSG00000160741;ENSG00000160741
Glucagon;ENSG00000109819;ENSG00000109819
Glucagon;ENSG00000150907;ENSG00000150907
Glucagon;ENSG00000138814;ENSG00000160741
Glucagon;ENSG00000107758;ENSG00000160741
Glucagon;ENSG00000120910;ENSG00000160741
Glucagon;ENSG00000221823;ENSG00000160741
Glucagon;ENSG00000188386;ENSG00000160741
Relaxin;ENSG00000107018;ENSG00000171509
Relaxin;ENSG00000107014;ENSG00000171509
Relaxin;ENSG00000087460;ENSG00000173175
Relaxin;ENSG00000288516;ENSG00000107175
Relaxin;ENSG00000288516;ENSG00000118260
Relaxin;ENSG00000288516;ENSG00000115966
Relaxin;ENSG00000288516;ENSG00000234539
Relaxin;ENSG00000288516;ENSG00000143578
Relaxin;ENSG00000288516;ENSG00000128272
Relaxin;ENSG00000288516;ENSG00000182158
Relaxin;ENSG00000288516;ENSG00000060566
Relaxin;ENSG00000288516;ENSG00000157613
Relaxin;ENSG00000288516;ENSG00000146592
Relaxin;ENSG00000142875;ENSG00000107175
Relaxin;ENSG00000142875;ENSG00000118260
Relaxin;ENSG00000142875;ENSG00000115966
Relaxin;ENSG00000142875;ENSG00000234539
Relaxin;ENSG00000142875;ENSG00000143578
Relaxin;ENSG00000142875;ENSG00000128272
Relaxin;ENSG00000142875;ENSG00000182158
Relaxin;ENSG00000142875;ENSG00000060566
Relaxin;ENSG00000142875;ENSG00000157613
Relaxin;ENSG00000142875;ENSG00000146592
Relaxin;ENSG00000165059;ENSG00000107175
Relaxin;ENSG00000165059;ENSG00000118260
Relaxin;ENSG00000165059;ENSG00000115966
Relaxin;ENSG00000165059;ENSG00000234539
Relaxin;ENSG00000165059;ENSG00000143578
Relaxin;ENSG00000165059;ENSG00000128272
Relaxin;ENSG00000165059;ENSG00000182158
Relaxin;ENSG00000165059;ENSG00000060566
Relaxin;ENSG00000165059;ENSG00000157613
Relaxin;ENSG00000165059;ENSG00000146592
Relaxin;ENSG00000288516;ENSG00000100906
Relaxin;ENSG00000142875;ENSG00000100906
Relaxin;ENSG00000165059;ENSG00000100906
Relaxin;ENSG00000100906;ENSG00000109320
Relaxin;ENSG00000100906;ENSG00000173039
Relaxin;ENSG00000087258;ENSG00000173175
Relaxin;ENSG00000107175;ENSG00000165197
Relaxin;ENSG00000107175;ENSG00000112715
Relaxin;ENSG00000107175;ENSG00000173511
Relaxin;ENSG00000107175;ENSG00000150630
Relaxin;ENSG00000118260;ENSG00000165197
Relaxin;ENSG00000118260;ENSG00000112715
Relaxin;ENSG00000118260;ENSG00000173511
Relaxin;ENSG00000118260;ENSG00000150630
Relaxin;ENSG00000115966;ENSG00000165197
Relaxin;ENSG00000115966;ENSG00000112715
Relaxin;ENSG00000115966;ENSG00000173511
Relaxin;ENSG00000115966;ENSG00000150630
Relaxin;ENSG00000234539;ENSG00000165197
Relaxin;ENSG00000234539;ENSG00000112715
Relaxin;ENSG00000234539;ENSG00000173511
Relaxin;ENSG00000234539;ENSG00000150630
Relaxin;ENSG00000143578;ENSG00000165197
Relaxin;ENSG00000143578;ENSG00000112715
Relaxin;ENSG00000143578;ENSG00000173511
Relaxin;ENSG00000143578;ENSG00000150630
Relaxin;ENSG00000128272;ENSG00000165197
Relaxin;ENSG00000128272;ENSG00000112715
Relaxin;ENSG00000128272;ENSG00000173511
Relaxin;ENSG00000128272;ENSG00000150630
Relaxin;ENSG00000182158;ENSG00000165197
Relaxin;ENSG00000182158;ENSG00000112715
Relaxin;ENSG00000182158;ENSG00000173511
Relaxin;ENSG00000182158;ENSG00000150630
Relaxin;ENSG00000060566;ENSG00000165197
Relaxin;ENSG00000060566;ENSG00000112715
Relaxin;ENSG00000060566;ENSG00000173511
Relaxin;ENSG00000060566;ENSG00000150630
Relaxin;ENSG00000157613;ENSG00000165197
Relaxin;ENSG00000157613;ENSG00000112715
Relaxin;ENSG00000157613;ENSG00000173511
Relaxin;ENSG00000157613;ENSG00000150630
Relaxin;ENSG00000146592;ENSG00000165197
Relaxin;ENSG00000146592;ENSG00000112715
Relaxin;ENSG00000146592;ENSG00000173511
Relaxin;ENSG00000146592;ENSG00000150630
Relaxin;ENSG00000109320;ENSG00000165197
Relaxin;ENSG00000109320;ENSG00000112715
Relaxin;ENSG00000109320;ENSG00000173511
Relaxin;ENSG00000109320;ENSG00000150630
Relaxin;ENSG00000173039;ENSG00000165197
Relaxin;ENSG00000173039;ENSG00000112715
Relaxin;ENSG00000173039;ENSG00000173511
Relaxin;ENSG00000173039;ENSG00000150630
